New game started.
New map is loading.
Populating chests with items.
Characters loaded into map.
It is King Kamra turn.
It is King Kamra turn.
King Kamra has moved down.
End of King Kamra turn.
It is King Kamra turn.
King Kamra has moved down.
End of King Kamra turn.
It is King Kamra turn.
King Kamra has moved down.
King Kamra hit Doug Dimmadome, Owner of the Dimmsdale Dimmadome for 2 damage
End of King Kamra turn.
Doug Dimmadome, Owner of the Dimmsdale Dimmadome attacked King Kamra
King Kamra was hit for 1 damage
It is King Kamra turn.
King Kamra has moved down.
King Kamra hit Doug Dimmadome, Owner of the Dimmsdale Dimmadome for 3 damage
End of King Kamra turn.
Doug Dimmadome, Owner of the Dimmsdale Dimmadome dies
It is King Kamra turn.
King Kamra has moved down.
End of King Kamra turn.
It is King Kamra turn.
King Kamra has moved down.
End of King Kamra turn.
It is King Kamra turn.
King Kamra has moved down.
End of King Kamra turn.
It is King Kamra turn.
King Kamra has moved down.
End of King Kamra turn.
It is King Kamra turn.
King Kamra has moved down.
End of King Kamra turn.
It is King Kamra turn.
King Kamra has moved down.
End of King Kamra turn.
It is King Kamra turn.
King Kamra has moved down.
End of King Kamra turn.
It is King Kamra turn.
King Kamra has moved down.
End of King Kamra turn.
It is King Kamra turn.
King Kamra has moved down.
End of King Kamra turn.
It is King Kamra turn.
King Kamra has moved right.
End of King Kamra turn.
It is King Kamra turn.
King Kamra has moved right.
End of King Kamra turn.
It is King Kamra turn.
King Kamra has moved up.
End of King Kamra turn.
It is King Kamra turn.
King Kamra has moved up.
End of King Kamra turn.
It is King Kamra turn.
King Kamra has moved up.
End of King Kamra turn.
It is King Kamra turn.
King Kamra has moved up.
End of King Kamra turn.
It is King Kamra turn.
King Kamra has moved up.
King Kamra has opened a chest.
End of King Kamra turn.
It is King Kamra turn.
King Kamra has moved down.
End of King Kamra turn.
It is King Kamra turn.
King Kamra has moved down.
End of King Kamra turn.
It is King Kamra turn.
King Kamra has moved down.
End of King Kamra turn.
It is King Kamra turn.
King Kamra has moved left.
King Kamra has bumped into a wall.
End of King Kamra turn.
It is King Kamra turn.
King Kamra has moved down.
End of King Kamra turn.
It is King Kamra turn.
King Kamra has moved left.
End of King Kamra turn.
It is King Kamra turn.
